scientificName,taxon,kingdom,earliestEventDate,earliestLocation,earliestISO3,totalCountryCount,habitat,establishmentMeans,isInvasiveAnywhere,originalDatabase
Mesembryanthemum cordifolium L.fil.,Mesembryanthemum cordifolium,Plantae,1864,Portugal,PRT,17,terrestrial,introduced,TRUE,TrIAS; FirstRecords; GRIIS
Mesembryanthemum crystallinum L.,Mesembryanthemum crystallinum,Plantae,1500,Italy,ITA,15,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Mesembryanthemum lancifolium (L.Bolus) Klak,Mesembryanthemum lancifolium,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Mesembryanthemum nodiflorum L.,Mesembryanthemum nodiflorum,Plantae,1891,Norway,NOR,9,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; TrIAS; FirstRecords; GRIIS
"Mesocyclops pehpeiensis Hu, 1943",Mesocyclops pehpeiensis,Animalia,1987,United States,USA,2,freshwater,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Mesopolobus spermotrophus Hussey, 1960",Mesopolobus spermotrophus,Animalia,1952,United Kingdom,GBR,3,terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
Mesosphaerum pectinatum (L.) Kuntze,Mesosphaerum pectinatum,Plantae,1888,Congo - Kinshasa,COD,27,freshwater; terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
Mesosphaerum suaveolens (L.) Kuntze,Mesosphaerum suaveolens,Plantae,19,China,CHN,40,terrestrial,introduced,TRUE,FirstRecords; GRIIS; GRIIS ; J.Ganglo_BEN_2026
"Metaltella simoni (Keyserling, 1878)",Metaltella simoni,Animalia,1944,United States,USA,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Metanastria Hübner, 1820",Metanastria,Animalia,NA,NA,NA,1,terrestrial,introduced,TRUE,GRIIS; FirstRecords
"Metcalfa pruinosa (Say, 1830)",Metcalfa pruinosa,Animalia,1970,France,FRA,5,terrestrial,introduced,TRUE,"SINAS, DAISIE; GRIIS; InstytutOchronyPrzyrody"
Metrosideros collina (Forst.) A.Gray,Metrosideros collina,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Metrosideros excelsa Sol. ex Gaertn.,Metrosideros excelsa,Plantae,1880,Australia,AUS,3,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Metynnis argenteus Ahl, 1923",Metynnis argenteus,Animalia,NA,NA,NA,1,freshwater,introduced,TRUE,FirstRecords; GRIIS
"Mezium affine Boieldieu, 1856",Mezium affine,Animalia,1904,United States,USA,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Miconia calvescens DC.,Miconia calvescens,Plantae,1888,Sri Lanka,LKA,10,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Miconia crenata (Vahl) Michelang.,Miconia crenata,Plantae,2015,Australia,AUS,28,terrestrial,introduced,TRUE,FirstRecords; GRIIS; M.McGeoch_AUS_2025
"Microcosmus squamiger Michaelsen, 1927",Microcosmus squamiger,Animalia,1917,Australia,AUS,2,brackish; freshwater; marine; terrestrial,"introduced (alien, exotic, non-native, nonindigenous)",TRUE,SINAS; USRIIS
"Microctenopoma ansorgii (Boulenger, 1912)",Microctenopoma ansorgii,Animalia,NA,NA,NA,1,freshwater,introduced,TRUE,FirstRecords; GRIIS
"Microhyla okinavensis Stejneger, 1901",Microhyla okinavensis,Animalia,1931,Japan,JPN,1,freshwater; terrestrial,introduced,TRUE,FirstRecords; GRIIS
Microlaena stipoides (Labill.) R.Br.,Microlaena stipoides,Plantae,1959,United Kingdom,GBR,5,terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
"Micropterus dolomieu Lacepede, 1802; Micropterus dolomieu Lacepède, 1802",Micropterus dolomieu,Animalia,1873,Belgium,BEL,17,freshwater,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS
"Micropterus salmoides (Lacepede, 1802); Micropterus salmoides (Lacepède, 1802)",Micropterus salmoides,Animalia,1801,Italy,ITA,64,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
Microstegium nudum (Trin.) A.Camus,Microstegium nudum,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Microstegium vimineum (Trin.) A. Camus; Microstegium vimineum (Trin.) A.Camus,Microstegium vimineum,Plantae,1921,Myanmar (Burma),MMR,8,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,EPPO Distribution; USRIIS; FirstRecords; GRIIS
"Microtus arvalis (Pallas, 1779)",Microtus arvalis,Animalia,NA,NA,NA,2,terrestrial,introduced,TRUE,GRIIS; FirstRecords
"Microtus levis Miller, 1908",Microtus levis,Animalia,1920,Norway,NOR,2,terrestrial,introduced,TRUE,"SINAS, DAISIE; FirstRecords; GRIIS"
Mikania cordata (Burm.fil.) B.L.Rob.,Mikania cordata,Plantae,2011,Australia,AUS,6,terrestrial,introduced,TRUE,FirstRecords; GRIIS; M.McGeoch_AUS_2025
Mikania micrantha Kunth,Mikania micrantha,Plantae,1838,Philippines,PHL,40,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Mikania scandens (L.) Willd.,Mikania scandens,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Milax gagates (Draparnaud, 1801)",Milax gagates,Animalia,1840,New Zealand,NZL,13,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS
Millettia dura Dunn,Millettia dura,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Millingtonia hortensis L.fil.,Millingtonia hortensis,Plantae,1859,Indonesia,IDN,4,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Mimosa bimucronata (DC.) Kuntze,Mimosa bimucronata,Plantae,1920,China,CHN,4,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Mimosa diplotricha C.Wright,Mimosa diplotricha,Plantae,1900,Indonesia,IDN,42,terrestrial,introduced,TRUE,FirstRecords; GRIIS; B.Shrestha_NPL_2026
Mimosa diplotricha var. diplotricha,Mimosa diplotricha diplotricha,Plantae,1954,Australia,AUS,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS; M.McGeoch_AUS_2025
Mimosa invisa Mart. ex Colla,Mimosa invisa,Plantae,1753,China,CHN,6,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Mimosa pigra L.,Mimosa pigra,Plantae,1822,Nigeria,NGA,65,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Mimosa pudica L.,Mimosa pudica,Plantae,1777,China,CHN,58,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Mimosa pudica var. unijuga (Duchass. & Walp.) Griseb.,Mimosa pudica unijuga,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Mimosa quadrivalvis L.,Mimosa quadrivalvis,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Mimusops elengi L.,Mimusops elengi,Plantae,2013,United States,USA,4,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Mirabilis jalapa L.,Mirabilis jalapa,Plantae,17,Japan,JPN,80,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS
Mirabilis nyctaginea (Michx.) Mac Mill.,Mirabilis nyctaginea,Plantae,NA,NA,NA,13,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Miscanthus nepalensis (Trin.) Hack.,Miscanthus nepalensis,Plantae,1906,Australia,AUS,2,terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
Miscanthus sacchariflorus (Maxim.) Hack.; Miscanthus sacchariflorus (Maxim.) Benth. & Hook.f. ex Franch.,Miscanthus sacchariflorus,Plantae,1956,United States,USA,8,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
Miscanthus sinensis Andersson,Miscanthus sinensis,Plantae,1500,Czechia,CZE,23,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
"Misgurnus anguillicaudatus (Cantor, 1842)",Misgurnus anguillicaudatus,Animalia,1877,France,FRA,14,brackish; freshwater; marine,introduced: assisted colonization; introduced,TRUE,SINAS; USRIIS; TrIAS; FirstRecords; GRIIS
"Misgurnus mizolepis Günther, 1888",Misgurnus mizolepis,Animalia,2000,United Kingdom,GBR,2,freshwater,introduced,TRUE,FirstRecords; GRIIS
Misopates orontium (L.) Raf.,Misopates orontium,Plantae,1500,Poland,POL,23,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
Mitracarpus hirtus (L.) DC.,Mitracarpus hirtus,Plantae,1894,Democratic Republic of the Congo,COD,18,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS; B.Shrestha_NPL_2026
"Moina affinis Birge, 1893",Moina affinis,Animalia,1960,Italy,ITA,2,brackish; freshwater,introduced,TRUE,DAISIE; FirstRecords; GRIIS
Molinia caerulea (L.) Moench,Molinia caerulea,Plantae,1971,Canada,CAN,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Mollugo verticillata L.,Mollugo verticillata,Plantae,1500,Italy,ITA,7,terrestrial,introduced,TRUE,DAISIE; TrIAS; FirstRecords; GRIIS
"Molothrus bonariensis (Gmelin, 1789)",Molothrus bonariensis,Animalia,1800,Chile,CHL,8,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Momordica charantia L.,Momordica charantia,Plantae,1783,Bhutan,BTN,58,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
"Monarthropalpus flavus (Schrank, 1776)",Monarthropalpus flavus,Animalia,1650,United States,USA,6,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Monarthrum mali (Fitch, 1855); Monarthrum mali Wood & Bright, 1992",Monarthrum mali,Animalia,1906,United States,USA,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Monochamus clamator (LeConte, 1852)",Monochamus clamator,Animalia,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Monochamus galloprovincialis (Olivier, 1795)",Monochamus galloprovincialis,Animalia,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Monochamus sartor (Fabricius, 1787)",Monochamus sartor,Animalia,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Monomorium destructor (Jerdon, 1851)",Monomorium destructor,Animalia,1992,Spain,ESP,29,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Monomorium floricola (Jerdon, 1851)",Monomorium floricola,Animalia,1897,Grenada,GRD,48,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Monomorium indicum Forel, 1902",Monomorium indicum,Animalia,1997,United Arab Emirates,ARE,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Monomorium pharaonis (Linnaeus, 1758)",Monomorium pharaonis,Animalia,1780,Poland,POL,35,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
"Mononychellus tanajoa (Bondar, 1938)",Mononychellus tanajoa,Animalia,NA,NA,NA,1,terrestrial,introduced,TRUE,GRIIS
"Monopterus albus (Zuiew, 1793)",Monopterus albus,Animalia,1900,United States,USA,4,brackish; freshwater,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Montanoa grandiflora (DC.) Hemsl.,Montanoa grandiflora,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Montanoa hibiscifolia (Benth.) Standl.; Montanoa hibiscifolia (Benth.) K.Koch,Montanoa hibiscifolia,Plantae,1910,South Africa,ZAF,13,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS; M.McGeoch_AUS_2025
Moorochloa eruciformis (Sm.) Veldkamp,Moorochloa eruciformis,Plantae,1947,Belgium,BEL,13,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS
Moraea flaccida (Sweet) Steud.,Moraea flaccida,Plantae,1810,Australia,AUS,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Morelia spilota (Lacépède, 1804)",Morelia spilota,Animalia,2013,Belgium,BEL,3,terrestrial,introduced,TRUE,TrIAS; FirstRecords; GRIIS
"Morelia viridis (Schlegel, 1872)",Morelia viridis,Animalia,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Morella cerifera (L.) Small,Morella cerifera,Plantae,NA,NA,NA,4,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Morella faya (Aiton) Wilbur,Morella faya,Plantae,1856,Australia,AUS,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS; M.McGeoch_AUS_2025
Morinda citrifolia L.,Morinda citrifolia,Plantae,NA,NA,NA,10,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Moringa oleifera Lam.,Moringa oleifera,Plantae,1790,Nigeria,NGA,50,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS; GRIIS ; J.Ganglo_BEN_2026
"Morone americana (Gmelin, 1789)",Morone americana,Animalia,1950,Canada,CAN,4,brackish; freshwater; marine,introduced,TRUE,FirstRecords; GRIIS
"Morone chrysops (Rafinesque, 1820)",Morone chrysops,Animalia,1975,Mexico,MEX,3,freshwater,introduced,TRUE,FirstRecords; GRIIS
"Morone saxatilis (Walbaum, 1792)",Morone saxatilis,Animalia,1886,Mexico,MEX,13,freshwater,introduced,TRUE,FirstRecords; GRIIS
Morus alba L.,Morus alba,Plantae,1000,France,FRA,48,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
Morus indica L.,Morus indica,Plantae,NA,NA,NA,4,terrestrial,introduced,TRUE,GRIIS
Morus nigra L.,Morus nigra,Plantae,1500,Bulgaria,BGR,26,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Mucuna pruriens (L.) DC.,Mucuna pruriens,Plantae,1910,Congo - Kinshasa,COD,15,terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
Mucuna pruriens var. utilis (Wall. ex Wight) Baker ex Burck,Mucuna pruriens utilis,Plantae,NA,NA,NA,3,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Muehlenbeckia complexa Meisn.; Muehlenbeckia complexa (A.Cunn.) Meisn.,Muehlenbeckia complexa,Plantae,1500,United Kingdom,GBR,7,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Muhlenbergia schreberi J.F.Gmel.,Muhlenbergia schreberi,Plantae,1500,Switzerland,CHE,6,terrestrial,introduced,TRUE,DAISIE; FirstRecords; GRIIS
Mummenhoffia alliacea (L.) Esmailbegi & Al-Shehbaz,Mummenhoffia alliacea,Plantae,1907,Slovakia,SVK,6,terrestrial,introduced,TRUE,TrIAS; FirstRecords; GRIIS
"Muntiacus reevesi (Ogilby, 1839)",Muntiacus reevesi,Animalia,1890,France,FRA,6,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Muntingia calabura L.,Muntingia calabura,Plantae,1895,Singapore,SGP,21,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Murdannia keisak (Hassk.) Hand.-Mazz.,Murdannia keisak,Plantae,1500,Italy,ITA,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Murdannia nudiflora (L.) Brenan,Murdannia nudiflora,Plantae,1819,Philippines,PHL,39,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
Murraya paniculata (L.) Jack; Murraya paniculata (L.) Jacq.,Murraya paniculata,Plantae,1843,Australia,AUS,20,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
"Mus musculus Linnaeus, 1758",Mus musculus,Animalia,-6000,Italy,ITA,80,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
"Mus musculus domesticus Schwarz & Schwarz, 1943",Mus musculus domesticus,Animalia,1884,Australia,AUS,7,terrestrial,introduced,TRUE,FirstRecords; GRIIS; M.McGeoch_AUS_2025
Musa ornata Roxb.,Musa ornata,Plantae,NA,NA,NA,3,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Musa velutina H. Wendl. and Drude; Musa velutina H.Wendl. & Drude,Musa velutina,Plantae,1980,United States,USA,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Musca domestica Linnaeus, 1758",Musca domestica,Animalia,400,Denmark,DNK,4,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Musca domestica domestica Linnaeus, 1758",Musca domestica domestica,Animalia,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Muscari botryoides (L.) Mill.,Muscari botryoides,Plantae,1500,Austria,AUT,12,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS; Artsdatabanken
Muscari neglectum Guss. ex Ten.,Muscari neglectum,Plantae,1500,Germany,DEU,6,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
"Mustela erminea Linnaeus, 1758",Mustela erminea,Animalia,1650,United Kingdom,GBR,3,freshwater; terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
"Mustela itatsi Temminck, 1844",Mustela itatsi,Animalia,1885,Japan,JPN,1,freshwater; terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Mustela nivalis Linnaeus, 1766",Mustela nivalis,Animalia,-14000,Algeria,DZA,5,freshwater; terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
"Mustela putorius Linnaeus, 1758",Mustela putorius,Animalia,50,Spain,ESP,10,freshwater; terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Mustela putorius furo Linnaeus, 1758",Mustela putorius furo,Animalia,1885,Australia,AUS,3,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS; M.McGeoch_AUS_2025
"Mustela sibirica Pallas, 1773",Mustela sibirica,Animalia,1901,Japan,JPN,2,freshwater; terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Mustela vison Schreber, 1777",Mustela vison,Animalia,1912,Canada,CAN,35,freshwater; terrestrial,introduced,TRUE,SINAS; TrIAS; FirstRecords; GRIIS; Artsdatabanken; InstytutOchronyPrzyrody
Mycelis muralis (L.) Dumort.,Mycelis muralis,Plantae,1500,Ireland,IRL,4,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
"Myiopsitta monachus (Boddaert, 1783)",Myiopsitta monachus,Animalia,1892,Germany,DEU,19,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,"SINAS, DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS"
"Myllocerus undatus Marshall, 1916",Myllocerus undatus,Animalia,2000,United States,USA,1,terrestrial,"introduced (alien, exotic, non-native, nonindigenous)",TRUE,USRIIS
"Mylopharyngodon piceus (Richardson, 1846)",Mylopharyngodon piceus,Animalia,1960,Latvia; Romania,LVA; ROU,27,brackish; freshwater,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Myocastor coypus (Molina, 1782)",Myocastor coypus,Animalia,1882,Austria; Switzerland; Czech Republic; Germany; Spain; France; Croatia; Netherlands; Poland; Slovenia,AUT; CHE; CZE; DEU; ESP; FRA; HRV; NLD; POL; SVN,51,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
"Myodes glareolus (Schreber, 1780)",Myodes glareolus,Animalia,1950,Ireland,IRL,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Myoporum insulare R.Br.,Myoporum insulare,Plantae,1944,Portugal,PRT,5,terrestrial,introduced,TRUE,"SINAS, DAISIE; FirstRecords; GRIIS"
Myoporum laetum G. Forst.; Myoporum laetum G.Forst.,Myoporum laetum,Plantae,NA,NA,NA,5,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Myoporum montanum R.Br.,Myoporum montanum,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,GRIIS
Myoporum tenuifolium G.Forst.,Myoporum tenuifolium,Plantae,1500,Italy,ITA,5,terrestrial,introduced,TRUE,DAISIE; FirstRecords; GRIIS
Myosotis arvensis (L.) Hill,Myosotis arvensis,Plantae,-2200,Czechia,CZE,17,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Myosotis azorica H.C. Watson ex Hook.; Myosotis azorica H.C.Watson,Myosotis azorica,Plantae,1943,United States,USA,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Myosotis discolor Pers.,Myosotis discolor,Plantae,1700,Sweden,SWE,10,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Myosotis latifolia Poir.,Myosotis latifolia,Plantae,1933,Chile,CHL,4,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Myosotis scorpioides L.,Myosotis scorpioides,Plantae,1732,Sweden,SWE,10,brackish; freshwater; terrestrial,introduced: assisted colonization; introduced,TRUE,USRIIS; FirstRecords; GRIIS
Myosotis sparsiflora J.C.Mikan ex Pohl,Myosotis sparsiflora,Plantae,1779,Sweden,SWE,5,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Myosotis sylvatica Ehrh. ex Hoffm.,Myosotis sylvatica,Plantae,1700,Sweden,SWE,12,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Myosotis verna Nutt.,Myosotis verna,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Myricaria germanica Qaiser,Myricaria germanica,Plantae,1500,Bulgaria,BGR,2,terrestrial,introduced,TRUE,DAISIE; FirstRecords; GRIIS
Myriophyllum aquaticum (Vell.) Verdc.,Myriophyllum aquaticum,Plantae,1500,United Kingdom,GBR,40,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS; B.Shrestha_NPL_2026
Myriophyllum heterophyllum Michx.,Myriophyllum heterophyllum,Plantae,1800,Austria,AUT,6,freshwater; terrestrial,introduced,TRUE,DAISIE; TrIAS; FirstRecords; GRIIS
"Myriophyllum pinnatum (Walter) Britton, Sterns & Poggenb.",Myriophyllum pinnatum,Plantae,NA,NA,NA,1,freshwater,introduced,TRUE,FirstRecords; GRIIS
Myriophyllum spicatum L.,Myriophyllum spicatum,Plantae,1830,South Africa,ZAF,13,brackish; freshwater; marine; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS; M.McGeoch_AUS_2025
"Myrmica rubra (Linnaeus, 1758)",Myrmica rubra,Animalia,1901,Canada,CAN,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Myrrhis odorata (L.) Scop.,Myrrhis odorata,Plantae,1500,Germany,DEU,18,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS; Artsdatabanken; InstytutOchronyPrzyrody
"Mytilopsis leucophaeata (Conrad, 1831)",Mytilopsis leucophaeata,Animalia,1835,Belgium,BEL,5,brackish; freshwater,introduced,TRUE,TrIAS; FirstRecords; GRIIS
"Myxobolus cerebralis (Hofer, 1903)",Myxobolus cerebralis,Animalia,1956,United States,USA,1,brackish; freshwater; marine; terrestrial,"introduced (alien, exotic, non-native, nonindigenous)",TRUE,USRIIS
"Myzaphis turanica Nevsky, 1929",Myzaphis turanica,Animalia,NA,NA,NA,1,terrestrial,introduced,TRUE,GRIIS
"Myzus ascalonicus Doncaster, 1946",Myzus ascalonicus,Animalia,1907,Portugal,PRT,3,terrestrial,introduced,TRUE,"SINAS, DAISIE; FirstRecords; GRIIS; Artsdatabanken"
"Myzus ornatus Laing, 1932",Myzus ornatus,Animalia,1932,United Kingdom,GBR,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,"SINAS, DAISIE; USRIIS; FirstRecords; GRIIS"
"Myzus persicae (Sulzer, 1776)",Myzus persicae,Animalia,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Myzus varians Davidson, 1912",Myzus varians,Animalia,1911,United States,USA,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; GRIIS
Najas marina L.,Najas marina,Plantae,1783,United States,USA,5,brackish; freshwater,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Najas minor All.,Najas minor,Plantae,1934,United States,USA,4,brackish; freshwater,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
